Finding ID,Severity,Component/Layer,File:Line,Category,Finding Summary,Impact,Recommendation
F-11,Medium,Product Detail — Buy Now button,"product_details_screen.dart:301-323,581-582",Race Condition,"'Buy Now' has no double-tap guard, unlike 'Add to Cart' (properly disabled via AppButton's isLoading driven by cartState.isAddingItem). _buyNow calls context.push(AppRoutes.payment, ...) with no async gate.","A fast double-tap can push the Payment screen twice, potentially causing duplicate payment intents or confusing back-stack behavior.",Add the same loading/disabled guard used on Add to Cart to the Buy Now button.
F-12,Medium,Product Detail — quantity/stock reclamp,product_details_cubit.dart (incrementQuantity/decrementQuantity),Correctness (latent),"incrementQuantity/decrementQuantity never check availableStock (moot today per F-01 since the UI is dead), and switching to a lower-stock variant doesn't reclamp an already-elevated quantity.","Once F-01 is fixed, a user could select quantity 5 on a variant with stock 10, switch to a variant with stock 2, and still submit quantity 5.",Clamp the current quantity to the newly selected variant's availableStock whenever the variant changes.
F-13,Medium,Wishlist — Move to Bag variant handling,wishlist_screen.dart:139-160,Correctness,"'Move to Bag' resolves a variant server-side via WishlistRepository.resolveVariantUuid and adds it directly, unlike the PDP flow which requires explicit variant choice.","For a multi-variant product (size/color), the wrong variant can silently land in the cart without the user choosing it.",Require explicit variant selection (or default clearly and show which variant was chosen) before adding to cart from the wishlist.
F-14,Medium,Categories — categories_cubit.dart,categories_cubit.dart:75-79,Efficiency,loadData() serializes two independent calls (_getCategories() then _getBrands()) instead of using Future.wait.,Needlessly slows first render of the Categories screen by the sum rather than the max of both request latencies.,Parallelize the two independent fetches with Future.wait.
F-15,Medium,Product Listing — dead toggleFavourite,product_categories_cubit.dart:384-391; product_categories_screen.dart:896-912,Dead Code / Latent Bug Risk,ProductListingCubit.toggleFavourite() is unused — the live screen correctly reads/writes the shared WishlistCubit directly — but the dead method's presence invites a future edit that would desync listing favourites from the real wishlist.,"No current-day impact, but a maintenance trap that could reintroduce a wishlist desync bug later.",Delete the dead toggleFavourite() method.
F-16,Medium,Wishlist — persistence write ordering,wishlist_cubit.dart:24-41,Race Condition / Data Integrity,"toggle()/remove() each await _prefs.setString(...) after their own synchronous emit(); in-memory state stays correct across rapid taps, but the two _persist() disk writes can race, and an app kill between an emit and its matching persist can leave the restored wishlist mismatched from what was last shown.","A user could see a heart filled in-session, kill the app before the disk write lands, and find the item missing from wishlist on relaunch.",Serialize persistence writes (e.g. via a write queue) or use a transactional storage approach so emitted state and persisted state can't diverge.
F-17,Low,Product Detail — dead mock data file,product_mock_data.dart,Code Hygiene,"product_mock_data.dart is confirmed unreferenced dead code anywhere in the project — unlike the auth review's KYC mock bug, it's unreachable, but still confusing clutter in data/models/.","Risk of a future developer mistakenly wiring it back in, or confusion about which data source is authoritative.",Delete the unused mock data file.
F-18,Low,Multiple screens — dead commented-out code,"all_products_screen.dart (~200 lines); home_screen.dart (451 of 1014 lines, ~44%); categories_cubit.dart (56 lines); product_categories_screen.dart (~90 lines); product_bottom_bar.dart; product_details_screen.dart; app_button.dart; product_info_section.dart; countdown_timer.dart; flashDealSection.dart (both fully dead)",Code Hygiene,"Large blocks of dead, commented-out code left in place across many files, including two entirely-dead widget files (countdown_timer.dart, flashDealSection.dart) — the live Dashboard renders 'Flash Deals' via a plain ProductRail with no countdown/urgency UI despite the label.",Significantly increases file size/noise and maintenance burden; misleads readers about what UI is actually live (e.g. 'Flash Deals' implies urgency messaging that doesn't exist).,Delete dead commented-out code and unused widget files; rely on git history for prior implementations. Either wire up real flash-deal countdown UI or rename the section to match actual behavior.
F-19,Low,Dashboard — flash deals vs recommended,dashboard_cubit.dart:116-117,Correctness / Product,"HomeState.flashDeals is simply products.take(6) from the same general fetch as recommended — 'Flash Deals' and 'Recommended' aren't actually distinct curated lists today, just overlapping slices of one list.",Misleading merchandising — users see the same items twice under different labels with no actual deal/discount criteria applied.,Source Flash Deals from a genuinely distinct query (e.g. filtered by active discount/promotion) rather than slicing the general product list.
F-20,Low,Dashboard — dead _isInCart helper,all_products_screen.dart:289-294,Code Hygiene,AllProductsScreen._isInCart is dead — the live grid computes 'in cart' inline via context.watch<CartCubit>() instead.,Minor clutter/confusion about which code path is authoritative.,Delete the unused _isInCart method.
